"easting","northing","cityBlockNum","CU","PE","oanimal","I.NO","P.NO","open","infested","inspector","fitSet"
231556.74374,8183782.653064,722,0,0,0,0,0,0,0,39,0
231556.923588,8183444.964403,707,0,0,0,0,0,0,0,35,0
231556.980893,8183672.201038,712,0,0,0,0,0,0,0,35,0
231557.233101,8183557.594681,713,0,1,1,1,0,1,0,32,0
231557.83385,8183692.405354,712,0,0,0,0,0,0,0,36,0
231557.891805,8183612.568317,713,0,0,0,0,0,0,0,32,0
231558.183136,8183828.889366,722,0,0,0,0,0,0,0,20,0
231558.195068,8183510.494867,709,0,0,0,0,0,0,0,35,0
231558.631827,8183723.702591,720,0,0,0,1,1,1,0,35,0
231559.420325,8183474.55832,707,0,0,0,1,0,1,0,20,0
231560.685593,8183791.668285,722,0,0,0,0,0,0,0,43,0
231561.537572,8183677.569058,712,0,0,0,0,0,1,0,20,0
231561.573423,8183952.339487,699,0,0,0,0,0,0,0,39,0
231562.203386,8183565.443829,713,0,0,0,1,1,1,0,32,0
231562.642287,8183621.901379,713,0,0,0,1,0,1,0,36,0
231562.885744,8183729.669141,720,0,0,1,1,0,1,0,20,0
231563.210352,8183442.985628,707,1,0,0,1,0,1,0,32,0
231563.435818,8183837.748791,722,0,0,1,1,1,1,0,32,0
231563.917227,8183518.004328,709,0,0,0,0,0,0,0,20,0
231565.03956,8183469.127725,707,0,1,0,1,0,1,0,34,0
231565.930314,8183798.852253,722,0,1,0,0,0,1,0,43,0
231566.117991,8183496.696389,709,0,1,1,1,0,1,0,45,0
231566.193945,8183686.17133,712,0,0,0,1,0,1,0,43,0
231566.268967,8183733.634535,720,0,0,0,0,0,0,0,32,0
231566.423313,8183530.145594,709,1,1,0,1,0,1,0,20,0
231566.435225,8183572.640465,713,0,0,0,1,1,1,0,39,0
231566.707708,8183713.589397,720,0,0,0,0,0,0,0,35,0
231567.032588,8183849.981629,722,0,0,0,1,1,1,0,43,0
231567.063516,8183630.546186,713,0,0,0,0,0,0,0,39,0
231568.945971,8183739.364334,720,1,0,0,1,0,1,0,20,0
231569.149751,8183578.058144,713,0,0,0,0,0,0,0,32,0
231569.503865,8183809.612989,722,0,0,0,0,0,0,0,35,0
231570.203429,8183743.289547,720,0,0,0,1,0,1,0,20,0
231570.303574,8183860.500405,722,0,0,1,1,0,1,0,32,0
231571.060573,8183895.118806,722,0,0,0,1,1,1,0,43,0
231571.34766,8183640.448425,713,0,0,0,0,0,0,0,43,0
231571.521956,8183437.189894,707,0,1,0,1,1,1,0,28,0
231571.94415,8183885.196367,722,0,0,0,0,0,0,0,39,0
231572.243531,8183900.42782,722,0,0,0,0,0,0,0,43,0
231572.282363,8183913.35473,722,0,1,1,1,1,1,0,35,0
231572.539951,8183872.133576,722,0,0,0,0,0,0,0,32,0
231572.698451,8183584.217733,713,0,0,0,0,0,0,0,20,0
231572.95011,8183817.519425,722,0,0,0,0,0,0,0,43,0
231572.988664,8183527.959531,709,0,1,0,1,1,1,0,18,0
231572.999867,8183907.425408,722,0,0,0,0,0,0,0,43,0
231573.267044,8183684.700671,712,0,0,1,1,0,1,0,32,0
231573.436177,8183921.044574,722,0,0,0,0,0,0,0,35,0
231573.447984,8183746.934851,720,0,0,0,1,1,1,0,20,0
231574.212017,8183464.700611,707,0,1,0,1,0,1,0,45,0
231574.655867,8183710.225017,720,0,0,0,0,0,0,0,39,0
231575.17855,8183649.427932,713,0,1,0,1,1,1,0,38,0
231575.208828,8183494.142513,709,0,0,0,0,0,0,0,43,0
231575.578749,8183591.680824,713,0,0,0,0,0,0,0,43,0
231576.009178,8183751.540958,720,0,1,0,1,0,1,0,20,0
231576.092453,8183526.115125,709,0,0,0,1,1,1,0,36,0
231577.441591,8183825.828421,722,0,0,0,0,0,0,0,39,0
231577.450894,8183932.074082,722,0,0,0,0,0,0,0,20,0
231577.529724,8183434.763779,707,0,1,0,1,1,1,0,34,0
231579.317026,8183598.051161,713,0,0,0,0,0,0,0,39,0
